street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 4,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2,4-Trimethylbenzene",0.61199999999999999,0.20399999999999999,3.01,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2-Dichloroethane",ND,0.247,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2-dichloropropane",ND,0.217,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,4-Dichlorobenzene",0.20300000000000001,0.16600000000000001,1.22,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,4-Ethyltoluene,0.67500000000000004,0.20399999999999999,3.32,1,2018-08-07T04:00:00Z,KCA,1
1458-1460,SV 4,4-Isopropyltoluene,ND,0.182,ND,1,2018-08-07T04:00:00Z,KCA,1
